00|DiePacket
4f|PartySmallWindowAddPacket
50|PartySmallWindowDeleteAllPacket
51|PartySmallWindowDeletePacket
52|PartySmallWindowUpdatePacket
53|TradePressOwnOkPacket
54|MagicSkillLaunchedPacket
55|FriendAddRequestResult
56|FriendAdd
57|FriendRemove
58|FriendList
59|FriendStatus
5a|PledgeShowMemberListAllPacket
5b|PledgeShowMemberListUpdatePacket
5c|PledgeShowMemberListAddPacket
5d|PledgeShowMemberListDeletePacket
5e|MagicListPacket
5f|SkillListPacket
60|VehicleInfoPacket
61|FinishRotatingPacket
62|SystemMessagePacket
63|StartPledgeWarPacket
64|ReplyStartPledgeWarPacket
65|StopPledgeWarPacket
66|ReplyStopPledgeWarPacket
67|SurrenderPledgeWarPacket
68|ReplySurrenderPledgeWarPacket
69|SetPledgeCrestPacket
6a|PledgeCrestPacket
6b|SetupGaugePacket
6c|VehicleDeparturePacket
6d|VehicleCheckLocationPacket
6e|GetOnVehiclePacket
6f|GetOffVehiclePacket
70|TradeRequestPacket
71|RestartResponsePacket
72|MoveToPawnPacket
73|SSQInfoPacket
74|GameGuardQueryPacket
75|L2FriendListPacket
76|L2FriendPacket
77|L2FriendStatusPacket
78|L2FriendSayPacket
79|ValidateLocationPacket
7a|StartRotatingPacket
7b|ShowBoardPacket
7c|ChooseInventoryItemPacket
7d|DummyPacket
7e|MoveToLocationInVehiclePacket
7f|StopMoveInVehiclePacket
80|ValidateLocationInVehiclePacket
81|TradeUpdatePacket
82|TradePressOtherOkPacket
83|FriendAddRequest
84|LogOutOkPacket
85|AbnormalStatusUpdatePacket
86|QuestListPacket
87|EnchantResultPacket
88|PledgeShowMemberListDeleteAllPacket
89|PledgeInfoPacket
8a|PledgeExtendedInfoPacket
8b|SurrenderPersonallyPacket
8c|RidePacket
8d|DummyPacket
8e|PledgeShowInfoUpdatePacket
8f|ClientActionPacket
90|AcquireSkillListPacket
91|AcquireSkillInfoPacket
92|ServerObjectInfoPacket
93|GMHidePacket
94|AcquireSkillDonePacket
95|GMViewCharacterInfoPacket
96|GMViewPledgeInfoPacket
97|GMViewSkillInfoPacket
98|GMViewMagicInfoPacket
99|GMViewQuestInfoPacket
9a|GMViewItemListPacket
9b|GMViewWarehouseWithdrawListPacket
9c|ListPartyWatingPacket
9d|PartyRoomInfoPacket
9e|PlaySoundPacket
9f|StaticObjectPacket
a0|PrivateStoreManageList
a1|PrivateStoreList
a2|PrivateStoreMsg
a3|ShowMinimapPacket
a4|ReviveRequestPacket
a5|AbnormalVisualEffectPacket
a6|TutorialShowHtmlPacket
a7|TutorialShowQuestionMarkPacket
a8|TutorialEnableClientEventPacket
a9|TutorialCloseHtmlPacket
aa|ShowRadarPacket
ab|WithdrawAlliancePacket
ac|OustAllianceMemberPledgePacket
ad|DismissAlliancePacket
ae|SetAllianceCrestPacket
af|AllianceCrestPacket
b0|ServerCloseSocketPacket
b1|PetStatusShowPacket
b2|PetInfoPacket
b3|PetItemListPacket
b4|PetInventoryUpdatePacket
b5|AllianceInfoPacket
b6|PetStatusUpdatePacket
b7|PetDeletePacket
b8|DeleteRadarPacket
b9|MyTargetSelectedPacket
ba|PartyMemberPositionPacket
bb|AskJoinAlliancePacket
bc|JoinAlliancePacket
bd|PrivateStoreBuyManageList
be|PrivateStoreBuyList
bf|PrivateStoreBuyMsg
c0|VehicleStartPacket
c1|RequestTimeCheckPacket
c2|StartAllianceWarPacket
c3|ReplyStartAllianceWarPacket
c4|StopAllianceWarPacket
c5|ReplyStopAllianceWarPacket
c6|SurrenderAllianceWarPacket
c7|SkillCoolTimePacket
c8|PackageToListPacket
c9|CastleSiegeInfoPacket
ca|CastleSiegeAttackerListPacket
cb|CastleSiegeDefenderListPacket
cc|NickNameChangedPacket
cd|PledgeStatusChangedPacket
ce|RelationChangedPacket
cf|EventTriggerPacket
d0|MultiSellListPacket
d1|SetSummonRemainTimePacket
d2|PackageSendableListPacket
d3|EarthQuakePacket
d4|FlyToLocationPacket
d5|BlockListPacket
d6|SpecialCameraPacket
d7|NormalCameraPacket
d8|SkillRemainSecPacket
d9|NetPingPacket
da|DicePacket
db|SnoopPacket
dc|RecipeBookItemListPacket
dd|RecipeItemMakeInfoPacket
de|RecipeShopManageListPacket
df|RecipeShopSellListPacket
e0|RecipeShopItemInfoPacket
e1|RecipeShopMsgPacket
e2|ShowCalcPacket
e3|MonRaceInfoPacket
e4|HennaItemInfoPacket
e5|HennaInfoPacket
e6|HennaUnequipListPacket
e7|HennaUnequipInfoPacket
e8|MacroListPacket
e9|BuyListSeedPacket
ea|ShowTownMapPacket
eb|ObserverStartPacket
ec|ObserverEndPacket
ed|ChairSitPacket
ee|HennaEquipListPacket
ef|SellListProcurePacket
f0|GMHennaInfoPacket
f1|RadarControlPacket
f2|ClientSetTimePacket
f3|ConfirmDlgPacket
f4|PartySpelledPacket
f5|ShopPreviewListPacket
f6|ShopPreviewInfoPacket
f7|CameraModePacket
f8|ShowXMasSealPacket
f9|EtcStatusUpdatePacket
fa|ShortBuffStatusUpdatePacket
fb|SSQStatusPacket
fc|PetitionVotePacket
fd|AgitDecoInfoPacket
fe|DummyPacket
fe:01|ExRegenMaxPacket
fe:02|ExEventMatchUserInfoPacket
fe:03|ExColosseumFenceInfoPacket
fe:04|ExEventMatchSpelledInfoPacket
fe:05|ExEventMatchFirecrackerPacket
fe:06|ExEventMatchTeamUnlockedPacket
fe:07|ExEventMatchGMTestPacket
fe:08|ExPartyRoomMemberPacket
fe:09|ExClosePartyRoomPacket
fe:0a|ExManagePartyRoomMemberPacket
fe:0b|ExEventMatchLockResult
fe:0c|ExAutoSoulShot
fe:0d|ExEventMatchListPacket
fe:0e|ExEventMatchObserverPacket
fe:0f|ExEventMatchMessagePacket
fe:10|ExEventMatchScorePacket
fe:11|ExServerPrimitivePacket
fe:12|ExOpenMPCCPacket
fe:13|ExCloseMPCCPacket
fe:14|ExShowCastleInfo
fe:15|ExShowFortressInfo
fe:16|ExShowAgitInfo
fe:17|ExShowFortressSiegeInfo
fe:18|ExPartyPetWindowAdd
fe:19|ExPartyPetWindowUpdate
fe:1a|ExAskJoinMPCCPacket
fe:1b|ExPledgeEmblem
fe:1c|ExEventMatchTeamInfoPacket
fe:1d|ExEventMatchCreatePacket
fe:1e|ExFishingStartPacket
fe:1f|ExFishingEndPacket
fe:20|ExShowQuestInfoPacket
fe:21|ExShowQuestMarkPacket
fe:22|ExSendManorListPacket
fe:23|ExShowSeedInfoPacket
fe:24|ExShowCropInfoPacket
fe:25|ExShowManorDefaultInfoPacket
fe:26|ExShowSeedSettingPacket
fe:27|ExFishingStartCombatPacket
fe:28|ExFishingHpRegenPacket
fe:29|ExEnchantSkillListPacket
fe:2a|ExEnchantSkillInfoPacket
fe:2b|ExShowCropSettingPacket
fe:2c|ExShowSellCropListPacket
fe:2d|ExOlympiadMatchEndPacket
fe:2e|ExMailArrivedPacket
fe:2f|ExStorageMaxCountPacket
fe:30|ExEventMatchManagePacket
fe:31|ExMultiPartyCommandChannelInfoPacket
fe:32|ExPCCafePointInfoPacket
fe:33|ExSetCompassZoneCode
fe:34|ExGetBossRecord
fe:35|ExAskJoinPartyRoom
fe:36|ExListPartyMatchingWaitingRoom
fe:37|ExSetMpccRouting
fe:38|ExShowAdventurerGuideBook
fe:39|ExShowScreenMessage
fe:3a|PledgeSkillListPacket
fe:3b|PledgeSkillListAddPacket
fe:3c|PledgePowerGradeList
fe:3d|PledgeReceivePowerInfo
fe:3e|PledgeReceiveMemberInfo
fe:3f|PledgeReceiveWarList
fe:40|PledgeReceiveSubPledgeCreated
fe:41|ExRedSkyPacket
fe:42|PledgeReceiveUpdatePower
fe:43|FlySelfDestinationPacket
fe:44|ShowPCCafeCouponShowUI
fe:45|ExSearchOrc
fe:46|ExCursedWeaponList
fe:47|ExCursedWeaponLocation
fe:48|ExRestartClient
fe:49|ExRequestHackShield
fe:4a|ExUseSharedGroupItem
fe:4b|ExMPCCShowPartyMemberInfo
fe:4c|ExDuelAskStart
fe:4d|ExDuelReady
fe:4e|ExDuelStart
fe:4f|ExDuelEnd
fe:50|ExDuelUpdateUserInfo
fe:51|ExShowVariationMakeWindow
fe:52|ExShowVariationCancelWindow
fe:53|ExPutItemResultForVariationMake
fe:54|ExPutIntensiveResultForVariationMake
fe:55|ExPutCommissionResultForVariationMake
fe:56|ExVariationResult
fe:57|ExPutItemResultForVariationCancel
fe:58|ExVariationCancelResult
fe:59|ExDuelEnemyRelation
fe:5a|ExPlayAnimation
fe:5b|ExMPCCPartyInfoUpdate
fe:5c|ExPlayScene
fe:5d|ExSpawnEmitterPacket
fe:5e|ExEnchantSkillInfoDetailPacket
fe:5f|ExBasicActionList
fe:60|ExAirShipInfo
fe:61|ExAttributeEnchantResultPacket
fe:62|ExChooseInventoryAttributeItemPacket
fe:63|ExGetOnAirShipPacket
fe:64|ExGetOffAirShipPacket
fe:65|ExMoveToLocationAirShipPacket
fe:66|ExStopMoveAirShipPacket
fe:67|ExShowTracePacket
fe:68|ExItemAuctionInfoPacket
fe:69|ExNeedToChangeName
fe:6a|ExPartyPetWindowDelete
fe:6b|ExTutorialList
fe:6c|ExRpItemLink
fe:6d|ExMoveToLocationInAirShipPacket
fe:6e|ExStopMoveInAirShipPacket
fe:6f|ExValidateLocationInAirShipPacket
fe:70|ExUISettingPacket
fe:71|ExMoveToTargetInAirShipPacket
fe:72|ExAttackInAirShipPacket
fe:73|ExMagicSkillUseInAirShipPacket
fe:74|ExShowBaseAttributeCancelWindow
fe:75|ExBaseAttributeCancelResult
fe:76|ExSubPledgetSkillAdd
fe:77|ExResponseFreeServer
fe:78|ExShowProcureCropDetailPacket
fe:79|ExHeroListPacket
fe:7a|ExOlympiadUserInfoPacket
fe:7b|ExOlympiadSpelledInfoPacket
fe:7c|ExOlympiadModePacket
fe:7d|ExShowFortressMapInfo
fe:7e|ExPVPMatchRecord
fe:7f|ExPVPMatchUserDie
fe:80|ExPrivateStoreWholeMsg
fe:81|ExPutEnchantTargetItemResult
fe:82|ExPutEnchantSupportItemResult
fe:83|ExChangeNicknameNColor
fe:84|ExGetBookMarkInfoPacket
fe:85|ExNotifyPremiumItem
fe:86|ExGetPremiumItemListPacket
fe:87|ExPeriodicItemList
fe:88|ExJumpToLocation
fe:89|ExPVPMatchCCRecord
fe:8a|ExPVPMatchCCMyRecord
fe:8b|ExPVPMatchCCRetire
fe:8c|ExShowTerritory
fe:8d|ExNpcQuestHtmlMessage
fe:8e|ExSendUIEventPacket
fe:8f|ExNotifyBirthDay
fe:90|ExShowDominionRegistry
fe:91|ExReplyRegisterDominion
fe:92|ExReplyDominionInfo
fe:93|ExShowOwnthingPos
fe:94|ExCleftList
fe:95|ExCleftState
fe:96|ExDominionChannelSet
fe:97|ExBlockUpSetList
fe:98|ExBlockUpSetState
fe:99|ExStartScenePlayer
fe:9a|ExAirShipTeleportList
fe:9b|ExMpccRoomInfo
fe:9c|ExListMpccWaiting
fe:9d|ExDissmissMpccRoom
fe:9e|ExManageMpccRoomMember
fe:9f|ExMpccRoomMember
fe:a0|ExVitalityPointInfo
fe:a1|ExShowSeedMapInfo
fe:a2|ExMpccPartymasterList
fe:a3|ExDominionWarStart
fe:a4|ExDominionWarEnd
fe:a5|ExShowLines
fe:a6|ExPartyMemberRenamed
fe:a7|ExEnchantSkillResult
fe:a8|ExRefundList
fe:a9|ExNoticePostArrived
fe:aa|ExShowReceivedPostList
fe:ab|ExReplyReceivedPost
fe:ac|ExShowSentPostList
fe:ad|ExReplySentPost
fe:ae|ExResponseShowStepOne
fe:af|ExResponseShowStepTwo
fe:b0|ExResponseShowContents
fe:b1|ExShowPetitionHtml
fe:b2|ExReplyPostItemList
fe:b3|ExChangePostState
fe:b4|ExReplyWritePost
fe:b5|ExInitializeSeed
fe:b6|ExRaidReserveResult
fe:b7|ExBuySellListPacket
fe:b8|ExCloseRaidSocket
fe:b9|ExPrivateMarketListPacket
fe:ba|ExRaidCharacterSelected
fe:bb|ExAskCoupleAction
fe:bc|ExBrBroadcastEventState
fe:bd|ExBR_LoadEventTopRankersPacket
fe:be|ExChangeNPCState
fe:bf|ExAskModifyPartyLooting
fe:c0|ExSetPartyLooting
fe:c1|ExRotation
fe:c2|ExChangeClientEffectInfo
fe:c3|ExMembershipInfo
fe:c4|ExReplyHandOverPartyMaster
fe:c5|ExQuestNpcLogList
fe:c6|ExQuestItemListPacket
fe:c7|ExGMViewQuestItemListPacket
fe:c8|ExResartResponse
fe:c9|ExVoteSystemInfoPacket
fe:ca|ExShuttuleInfoPacket
fe:cb|ExSuttleGetOnPacket
fe:cc|ExSuttleGetOffPacket
fe:cd|ExSuttleMovePacket
fe:ce|ExMTLInSuttlePacket
fe:cf|ExStopMoveInShuttlePacket
fe:d0|ExValidateLocationInShuttlePacket
fe:d1|ExAgitAuctionCmdPacket
fe:d2|ExConfirmAddingPostFriend
fe:d3|ExReceiveShowPostFriend
fe:d4|ExReceiveOlympiadPacket
fe:d5|ExBR_GamePointPacket
fe:d6|ExBR_ProductListPacket
fe:d7|ExBR_ProductInfoPacket
fe:d8|ExBR_BuyProductPacket
fe:d9|ExBR_PremiumStatePacket
fe:da|ExBrExtraUserInfo
fe:db|ExBrBuffEventState
fe:dc|ExBR_RecentProductListPacket
fe:dd|ExBR_MinigameLoadScoresPacket
fe:de|ExBR_AgathionEnergyInfoPacket
fe:df|ExShowChannelingEffectPacket
fe:e0|ExShowChannelingEffectPacket
fe:e1|ExGetCrystalizingFail
fe:e2|ExNavitAdventPointInfoPacket
fe:e3|ExNavitAdventEffectPacket
fe:e4|ExNavitAdventTimeChangePacket
fe:e5|ExAbnormalStatusUpdateFromTargetPacket
fe:e6|ExStopScenePlayerPacket
fe:e7|ExFlyMove
fe:e8|ExDynamicQuestPacket
fe:e9|ExSubjobInfo
fe:ea|ExChangeMPCost
fe:eb|ExFriendDetailInfo
fe:ec|ExBlockAddResult
fe:ed|ExBlockRemoveResult
fe:ee|ExBlockDefailInfo
fe:ef|ExLoadInzonePartyHistory
fe:f0|ExFriendNotifyNameChange
fe:f1|ExShowCommission
fe:f2|ExResponseCommissionItemList
fe:f3|ExResponseCommissionInfo
fe:f4|ExResponseCommissionRegister
fe:f5|ExResponseCommissionDelete
fe:f6|ExResponseCommissionList
fe:f7|ExResponseCommissionBuyInfo
fe:f8|ExResponseCommissionBuyItem
fe:f9|ExAcquirableSkillListByClass
fe:fa|ExMagicAttackInfo
fe:fb|ExAcquireSkillInfo
fe:fc|ExNewSkillToLearnByLevelUp
fe:fd|ExCallToChangeClass
fe:fe|ExChangeToAwakenedClass
fe:ff|ExTacticalSign
fe:100|ExLoadStatWorldRank
fe:101|ExLoadStatUser
fe:102|ExLoadStatHotLink
fe:103|ExWaitWaitingSubStituteInfo
fe:104|ExRegistWaitingSubstituteOk
fe:105|ExRegistPartySubstitute
fe:106|ExDeletePartySubstitute
fe:107|ExTimeOverPartySubstitute
fe:108|ExGet24HzSessionID
fe:109|Ex2NDPasswordCheckPacket
fe:10a|Ex2NDPasswordVerifyPacket
fe:10b|Ex2NDPasswordAckPacket
fe:10c|ExFlyMoveBroadcast
fe:10d|ExShowUsmPacket
fe:10e|ExShowStatPage
fe:10f|ExIsCharNameCreatable
fe:110|ExGoodsInventoryChangedNotiPacket
fe:111|ExGoodsInventoryInfoPacket
fe:112|ExGoodsInventoryResultPacket
fe:113|ExAlterSkillRequest
fe:114|ExNotifyFlyMoveStart
fe:115|ExDummyPacket
fe:116|ExCloseCommission
fe:117|ExChangeAttributeItemList
fe:118|ExChangeAttributeInfo
fe:119|ExChangeAttributeOk
fe:11a|ExChangeAttributeFail
fe:11b|ExExchangeSubstitute
fe:11c|ExLightingCandleEvent
fe:11d|ExVitalityEffectInfo
fe:11e|ExLoginVitalityEffectInfo
fe:11f|ExBR_PresentBuyProductPacket
fe:120|ExMentorList
fe:121|ExMentorAdd
fe:122|ExChoose_Shape_Shifting_Item
fe:123|ExPut_Shape_Shifting_Target_Item_Result
fe:124|ExPut_Shape_Shifting_Extraction_Item_Result
fe:125|ExShape_Shifting_Result
fe:126|ExCheck_SpeedHack
